window_id,label,subject
swell_PP10_1132,0,PP10
swell_PP10_1133,0,PP10
swell_PP10_1134,0,PP10
swell_PP10_1136,0,PP10
swell_PP10_1137,0,PP10
swell_PP10_1138,0,PP10
swell_PP10_1139,0,PP10
swell_PP10_1142,0,PP10
swell_PP10_1145,0,PP10
swell_PP10_1149,0,PP10
swell_PP10_1151,0,PP10
swell_PP10_1154,0,PP10
swell_PP10_1155,0,PP10
swell_PP10_1156,0,PP10
swell_PP10_1157,0,PP10
swell_PP10_1158,0,PP10
swell_PP10_1159,0,PP10
swell_PP10_1160,0,PP10
swell_PP10_1161,0,PP10
swell_PP10_1162,0,PP10
swell_PP10_1163,0,PP10
swell_PP10_1164,0,PP10
swell_PP10_1165,0,PP10
swell_PP10_1166,0,PP10
swell_PP10_1167,0,PP10
swell_PP10_1168,0,PP10
swell_PP10_1169,0,PP10
swell_PP10_1170,0,PP10
swell_PP10_1171,0,PP10
swell_PP10_1172,0,PP10
swell_PP10_1226,2,PP10
swell_PP10_1227,2,PP10
swell_PP10_1228,2,PP10
swell_PP10_1229,2,PP10
swell_PP10_1230,2,PP10
swell_PP10_1231,2,PP10
swell_PP10_1232,2,PP10
swell_PP10_1233,2,PP10
swell_PP10_1234,2,PP10
swell_PP10_1235,2,PP10
swell_PP10_1236,2,PP10
swell_PP10_1238,2,PP10
swell_PP10_1239,2,PP10
swell_PP10_1240,2,PP10
swell_PP10_1242,2,PP10
swell_PP10_1243,2,PP10
swell_PP10_1244,2,PP10
swell_PP10_1246,2,PP10
swell_PP10_1247,2,PP10
swell_PP10_1249,2,PP10
swell_PP10_1250,2,PP10
swell_PP10_1251,2,PP10
swell_PP11_1258,0,PP11
swell_PP11_1259,0,PP11
swell_PP11_1260,0,PP11
swell_PP11_1261,0,PP11
swell_PP11_1262,0,PP11
swell_PP11_1263,0,PP11
swell_PP11_1264,0,PP11
swell_PP11_1265,0,PP11
swell_PP11_1266,0,PP11
swell_PP11_1267,0,PP11
swell_PP11_1268,0,PP11
swell_PP11_1269,0,PP11
swell_PP11_1270,0,PP11
swell_PP11_1271,0,PP11
swell_PP11_1272,0,PP11
swell_PP11_1273,0,PP11
swell_PP11_1274,0,PP11
swell_PP11_1275,0,PP11
swell_PP11_1276,0,PP11
swell_PP11_1277,0,PP11
swell_PP11_1278,0,PP11
swell_PP11_1279,0,PP11
swell_PP11_1280,0,PP11
swell_PP11_1281,0,PP11
swell_PP11_1282,0,PP11
swell_PP11_1283,0,PP11
swell_PP11_1284,0,PP11
swell_PP11_1285,0,PP11
swell_PP11_1286,0,PP11
swell_PP11_1287,0,PP11
swell_PP11_1288,0,PP11
swell_PP11_1289,0,PP11
swell_PP11_1290,0,PP11
swell_PP11_1291,0,PP11
swell_PP11_1292,0,PP11
swell_PP11_1293,0,PP11
swell_PP11_1294,0,PP11
swell_PP11_1295,0,PP11
swell_PP11_1296,0,PP11
swell_PP11_1297,0,PP11
swell_PP11_1305,2,PP11
swell_PP11_1306,2,PP11
swell_PP11_1307,2,PP11
swell_PP11_1308,2,PP11
swell_PP11_1309,2,PP11
swell_PP11_1310,2,PP11
swell_PP11_1311,2,PP11
swell_PP11_1312,2,PP11
swell_PP11_1313,2,PP11
swell_PP11_1314,2,PP11
swell_PP11_1315,2,PP11
swell_PP11_1316,2,PP11
swell_PP11_1317,2,PP11
swell_PP11_1318,2,PP11
swell_PP11_1319,2,PP11
swell_PP11_1320,2,PP11
swell_PP11_1321,2,PP11
swell_PP11_1338,1,PP11
swell_PP11_1339,1,PP11
swell_PP11_1340,1,PP11
swell_PP11_1341,1,PP11
swell_PP11_1342,1,PP11
swell_PP11_1343,1,PP11
swell_PP11_1344,1,PP11
swell_PP11_1345,1,PP11
swell_PP11_1346,1,PP11
swell_PP11_1347,1,PP11
swell_PP11_1348,1,PP11
swell_PP11_1349,1,PP11
swell_PP11_1350,1,PP11
swell_PP11_1351,1,PP11
swell_PP11_1352,1,PP11
swell_PP11_1353,1,PP11
swell_PP11_1354,1,PP11
swell_PP11_1355,1,PP11
swell_PP11_1356,1,PP11
swell_PP12_1385,0,PP12
swell_PP12_1386,0,PP12
swell_PP12_1387,0,PP12
swell_PP12_1388,0,PP12
swell_PP12_1389,0,PP12
swell_PP12_1390,0,PP12
swell_PP12_1391,0,PP12
swell_PP12_1392,0,PP12
swell_PP12_1393,0,PP12
swell_PP12_1394,0,PP12
swell_PP12_1395,0,PP12
swell_PP12_1396,0,PP12
swell_PP12_1397,0,PP12
swell_PP12_1398,0,PP12
swell_PP12_1399,0,PP12
swell_PP12_1400,0,PP12
swell_PP12_1401,0,PP12
swell_PP12_1402,0,PP12
swell_PP12_1403,0,PP12
swell_PP12_1404,0,PP12
swell_PP12_1405,0,PP12
swell_PP12_1406,0,PP12
swell_PP12_1407,0,PP12
swell_PP12_1408,0,PP12
swell_PP12_1409,0,PP12
swell_PP12_1410,0,PP12
swell_PP12_1411,0,PP12
swell_PP12_1412,0,PP12
swell_PP12_1413,0,PP12
swell_PP12_1414,0,PP12
swell_PP12_1415,0,PP12
swell_PP12_1416,0,PP12
swell_PP12_1417,0,PP12
swell_PP12_1418,0,PP12
swell_PP12_1419,0,PP12
swell_PP12_1420,0,PP12
swell_PP12_1421,0,PP12
swell_PP12_1422,0,PP12
swell_PP12_1423,0,PP12
swell_PP12_1424,0,PP12
swell_PP12_1425,0,PP12
swell_PP12_1426,0,PP12
swell_PP12_1433,1,PP12
swell_PP12_1434,1,PP12
swell_PP12_1435,1,PP12
swell_PP12_1436,1,PP12
swell_PP12_1437,1,PP12
swell_PP12_1438,1,PP12
swell_PP12_1439,1,PP12
swell_PP12_1440,1,PP12
swell_PP12_1441,1,PP12
swell_PP12_1442,1,PP12
swell_PP12_1443,1,PP12
swell_PP12_1444,1,PP12
swell_PP12_1445,1,PP12
swell_PP12_1446,1,PP12
swell_PP12_1447,1,PP12
swell_PP12_1449,1,PP12
swell_PP12_1450,1,PP12
swell_PP12_1451,1,PP12
swell_PP12_1452,1,PP12
swell_PP12_1455,1,PP12
swell_PP12_1456,1,PP12
swell_PP12_1457,1,PP12
swell_PP12_1458,1,PP12
swell_PP12_1459,1,PP12
swell_PP12_1460,1,PP12
swell_PP12_1461,1,PP12
swell_PP12_1462,1,PP12
swell_PP12_1463,1,PP12
swell_PP12_1464,1,PP12
swell_PP12_1465,1,PP12
swell_PP12_1466,1,PP12
swell_PP12_1481,2,PP12
swell_PP12_1482,2,PP12
swell_PP12_1483,2,PP12
swell_PP12_1484,2,PP12
swell_PP12_1485,2,PP12
swell_PP12_1486,2,PP12
swell_PP12_1487,2,PP12
swell_PP12_1488,2,PP12
swell_PP12_1489,2,PP12
swell_PP12_1490,2,PP12
swell_PP12_1491,2,PP12
swell_PP12_1492,2,PP12
swell_PP12_1493,2,PP12
swell_PP12_1494,2,PP12
swell_PP12_1495,2,PP12
swell_PP12_1496,2,PP12
swell_PP12_1497,2,PP12
swell_PP12_1498,2,PP12
swell_PP12_1499,2,PP12
swell_PP13_1514,0,PP13
swell_PP13_1515,0,PP13
swell_PP13_1516,0,PP13
swell_PP13_1517,0,PP13
swell_PP13_1518,0,PP13
swell_PP13_1519,0,PP13
swell_PP13_1520,0,PP13
swell_PP13_1522,0,PP13
swell_PP13_1526,0,PP13
swell_PP13_1528,0,PP13
swell_PP13_1531,0,PP13
swell_PP13_1532,0,PP13
swell_PP13_1533,0,PP13
swell_PP13_1534,0,PP13
swell_PP13_1536,0,PP13
swell_PP13_1537,0,PP13
swell_PP13_1538,0,PP13
swell_PP13_1539,0,PP13
swell_PP13_1540,0,PP13
swell_PP13_1541,0,PP13
swell_PP13_1542,0,PP13
swell_PP13_1563,2,PP13
swell_PP13_1564,2,PP13
swell_PP13_1565,2,PP13
swell_PP13_1566,2,PP13
swell_PP13_1567,2,PP13
swell_PP13_1568,2,PP13
swell_PP13_1569,2,PP13
swell_PP13_1571,2,PP13
swell_PP13_1572,2,PP13
swell_PP13_1573,2,PP13
swell_PP13_1574,2,PP13
swell_PP13_1575,2,PP13
swell_PP13_1576,2,PP13
swell_PP13_1577,2,PP13
swell_PP13_1579,2,PP13
swell_PP13_1580,2,PP13
swell_PP13_1582,2,PP13
swell_PP13_1583,2,PP13
